Тип работ;Наименование работы;Цена;Единица измерения
Дополнительные работы (сплит-системы);выезд специалиста (по городу);500;руб.
Дополнительные работы (сплит-системы);выезд специалиста (за город);40;руб./км
Дополнительные работы (сплит-системы);монтаж доп. метров фреонотрассы;2000;руб./ м
Дополнительные работы (сплит-системы);доп. отверстие при монтаже сплит-системы;800;руб.
Дополнительные работы (сплит-системы);демонтаж сплит-системы с сохранением фрезона: сплит-системы 7 и 9 кВт;2000;руб.
Дополнительные работы (сплит-системы);демонтаж сплит-системы с сохранением фрезона: сплит-системы 12 и 18 кВт;2500;руб.
Дополнительные работы (сплит-системы);демонтаж сплит-системы с сохранением фрезона: сплит-системы 24 кВт;3000;руб.
Дополнительные работы (сплит-системы);диагностика сплит-системы, поиск утечки фрезона;1000;руб.
Дополнительные работы (сплит-системы);промывка сплит-системы 7 кВт;1500;руб.
Дополнительные работы (сплит-системы);промывка сплит-системы 9 кВт;1500;руб.
Дополнительные работы (сплит-системы);промывка сплит-системы 12 кВт;1500;руб.
Дополнительные работы (сплит-системы);промывка сплит-системы 18 кВт;2500;руб.
Дополнительные работы (сплит-системы);промывка сплит-системы 24 кВт;2500;руб.
Дополнительные работы (сплит-системы);заправка фрезона;2000;руб. (+ фреон 8 руб./грамм)
Дополнительные работы (сплит-системы);замена конденсатора;1500;руб.
Дополнительные работы (сплит-системы);замена вентилятора;2500;руб.
Дополнительные работы (сплит-системы);пайка труб фреонотрассы;500;руб./шт
Дополнительные работы (сплит-системы);работа на высоте от 2-го до 3-го этажа со стремянки;2500;руб.
Работы по укладке плитки;Облицовка стен плиткой (декоративным камнем, гипсовой плиткой-кирпичем);1800;руб./м2
Работы по укладке плитки;Укладка керамической плитки на пол (без диагонали и подбора рисунка);1000;руб./м2
Работы по укладке плитки;Демонтаж керамической плитки (без выноса мусора);500;руб./м2
Работы по укладке плитки;Облицовка поддона душевой кабины мозаикой;2500;руб./м2
Работы по укладке плитки;Затирка швов керамической плитки;200;руб./м2
